suite,scenario,time_s,time_min,temperature_K,ambient_K,sun_fraction,solar_W_m2,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
radiation,sun,340.0,5.666667,300.1150639846015,270.0,1.0,1000.0,0.0,0.0,-202.27682690288464,212.5,10.223173097115364,0.0,10.223173097115364,0.0,0.0,-68.62548448505835,72.25,3.6245155149416406,0.0,3.6245155149416406
radiation,sun,345.0,5.75,300.1166846970142,270.0,1.0,1000.0,0.0,0.0,-202.2895117997359,212.5,10.210488200264109,0.0,10.210488200264109,0.0,0.0,-69.63693204405703,73.3125,3.675567955942961,0.0,3.675567955942961
radiation,sun,350.0,5.833333,300.11830339841697,270.0,1.0,1000.0,0.0,0.0,-202.30218116256844,212.5,10.197818837431555,0.0,10.197818837431555,0.0,0.0,-70.64844294986987,74.375,3.7265570501301184,0.0,3.7265570501301184
radiation,sun,355.0,5.916667,300.11992009127255,270.0,1.0,1000.0,0.0,0.0,-202.31483500989512,212.5,10.18516499010488,0.0,10.18516499010488,0.0,0.0,-71.66001712491935,75.4375,3.7774828750806426,0.0,3.7774828750806426
radiation,sun,360.0,6.0,300.12153477804077,270.0,1.0,1000.0,0.0,0.0,-202.32747336020745,212.5,10.172526639792551,0.0,10.172526639792551,0.0,0.0,-72.67165449172039,76.5,3.828345508279605,0.0,3.828345508279605
radiation,sun,365.0,6.083333,300.1231474611786,270.0,1.0,1000.0,0.0,0.0,-202.3400962319765,212.5,10.159903768023497,0.0,10.159903768023497,0.0,0.0,-73.68335497288028,77.5625,3.8791450271197228,0.0,3.8791450271197228
radiation,sun,370.0,6.166667,300.1247581431399,270.0,1.0,1000.0,0.0,0.0,-202.35270364365275,212.5,10.147296356347255,0.0,10.147296356347255,0.0,0.0,-74.69511849109853,78.625,3.9298815089014587,0.0,3.9298815089014587
radiation,sun,375.0,6.25,300.12636682637583,270.0,1.0,1000.0,0.0,0.0,-202.36529561366527,212.5,10.134704386334732,0.0,10.134704386334732,0.0,0.0,-75.70694496916686,79.6875,3.980555030833133,0.0,3.980555030833133
radiation,sun,380.0,6.333333,300.1279735133345,270.0,1.0,1000.0,0.0,0.0,-202.3778721604233,212.5,10.122127839576706,0.0,10.122127839576706,0.0,0.0,-76.71883432996897,80.75,4.031165670031016,0.0,4.031165670031016
radiation,sun,385.0,6.416667,300.12957820646113,270.0,1.0,1000.0,0.0,0.0,-202.39043330231482,212.5,10.109566697685182,0.0,10.109566697685182,0.0,0.0,-77.73078649648055,81.8125,4.081713503519442,0.0,4.081713503519442
radiation,sun,390.0,6.5,300.131180908198,270.0,1.0,1000.0,0.0,0.0,-202.40297905770746,212.5,10.097020942292545,0.0,10.097020942292545,0.0,0.0,-78.74280139176908,82.875,4.132198608230905,0.0,4.132198608230905
radiation,sun,395.0,6.583333,300.13278162098453,270.0,1.0,1000.0,0.0,0.0,-202.41550944494787,212.5,10.084490555052128,0.0,10.084490555052128,0.0,0.0,-79.75487893899381,83.9375,4.182621061006166,0.0,4.182621061006166
radiation,sun,400.0,6.666667,300.13438034725715,270.0,1.0,1000.0,0.0,0.0,-202.42802448236225,212.5,10.071975517637753,0.0,10.071975517637753,0.0,0.0,-80.76701906140563,85.0,4.232980938594355,0.0,4.232980938594355
radiation,sun,405.0,6.75,300.1359770894495,270.0,1.0,1000.0,0.0,0.0,-202.44052418825598,212.5,10.059475811744022,0.0,10.059475811744022,0.0,0.0,-81.77922168234691,86.0625,4.283278317653075,0.0,4.283278317653075
radiation,sun,410.0,6.833333,300.13757184999224,270.0,1.0,1000.0,0.0,0.0,-202.45300858091468,212.5,10.046991419085316,0.0,10.046991419085316,0.0,0.0,-82.7914867252515,87.125,4.333513274748501,0.0,4.333513274748501
